AbonnementID,MembreID,TypeAbonnementID,DateDébut,DateFin,Prix,StatutAbonnement
1,18,102,6/20/2023,9/20/2023,150,Expiré
2,2,102,9/24/2024,12/24/2024,150,Expiré
3,2,101,8/26/2023,9/26/2023,50,Expiré
4,6,102,1/23/2025,4/23/2025,150,Actif
5,16,101,8/12/2024,9/12/2024,50,Expiré
6,19,101,5/30/2023,6/30/2023,50,Expiré
7,20,102,4/5/2023,7/5/2023,150,Expiré
8,8,102,8/7/2023,11/7/2023,150,Expiré
9,11,101,5/24/2023,6/24/2023,50,Expiré
10,1,102,10/22/2024,1/22/2025,150,Expiré
11,7,101,3/9/2023,4/9/2023,50,Expiré
12,3,101,11/5/2024,12/5/2024,50,Expiré
13,4,103,2/23/2023,2/23/2024,500,Expiré
14,5,101,2/3/2025,3/3/2025,50,Actif
15,17,102,6/21/2024,9/21/2024,150,Expiré
16,12,101,1/12/2025,2/12/2025,50,Expiré
17,20,103,1/15/2024,1/15/2025,500,Expiré
18,14,101,12/27/2024,1/27/2025,50,Expiré
19,6,103,10/14/2023,10/14/2024,500,Expiré
20,17,101,10/4/2024,11/4/2024,50,Expiré
21,14,102,12/4/2024,3/4/2025,150,Actif
22,19,102,3/19/2024,6/19/2024,150,Expiré
23,5,103,9/23/2024,9/23/2025,500,Actif
24,11,103,10/30/2023,10/30/2024,500,Expiré
25,9,102,10/7/2024,1/7/2025,150,Expiré
26,7,103,11/29/2023,11/29/2024,500,Expiré
27,7,101,5/17/2024,6/17/2024,50,Expiré
28,8,102,8/30/2023,11/30/2023,150,Expiré
29,1,102,11/30/2023,2/29/2024,150,Expiré
30,7,101,12/4/2024,1/4/2025,50,Expiré
31,13,103,7/5/2024,7/5/2025,500,Actif
32,13,101,4/24/2023,5/24/2023,50,Expiré
33,9,101,6/12/2023,7/12/2023,50,Expiré
34,4,101,12/11/2023,1/11/2024,50,Expiré
35,19,102,7/8/2024,10/8/2024,150,Expiré
36,17,103,9/28/2023,9/28/2024,500,Expiré
37,5,101,2/15/2024,3/15/2024,50,Expiré
38,6,102,9/14/2023,12/14/2023,150,Expiré
39,9,101,9/10/2024,10/10/2024,50,Expiré
40,13,103,7/4/2024,7/4/2025,500,Actif
41,13,103,9/12/2024,9/12/2025,500,Actif
42,12,102,6/5/2024,9/5/2024,150,Expiré
43,2,101,7/12/2024,8/12/2024,50,Expiré
44,4,103,5/19/2023,5/19/2024,500,Expiré
45,1,103,12/22/2024,12/22/2025,500,Actif
46,5,102,4/15/2024,7/15/2024,150,Expiré
47,10,102,6/25/2023,9/25/2023,150,Expiré
48,14,101,9/19/2024,10/19/2024,50,Expiré
49,2,102,2/28/2023,5/28/2023,150,Expiré
50,18,101,12/6/2024,1/6/2025,50,Expiré
51,13,101,11/16/2024,12/16/2024,50,Expiré
52,11,101,7/19/2024,8/19/2024,50,Expiré
53,1,101,4/22/2024,5/22/2024,50,Expiré
54,10,102,4/25/2023,7/25/2023,150,Expiré
55,11,101,11/30/2024,12/30/2024,50,Expiré
56,15,103,1/3/2024,1/3/2025,500,Expiré
57,4,103,5/18/2024,5/18/2025,500,Actif
58,9,103,7/22/2023,7/22/2024,500,Expiré
59,19,101,12/17/2024,1/17/2025,50,Expiré
60,1,102,5/10/2024,8/10/2024,150,Expiré
61,16,103,5/7/2024,5/7/2025,500,Actif
62,2,103,5/18/2023,5/18/2024,500,Expiré
63,11,102,8/30/2023,11/30/2023,150,Expiré
64,14,102,1/15/2025,4/15/2025,150,Actif
65,10,101,12/17/2024,1/17/2025,50,Expiré
66,10,103,5/27/2024,5/27/2025,500,Actif
67,8,102,1/4/2025,4/4/2025,150,Actif
68,7,103,8/20/2023,8/20/2024,500,Expiré
69,12,102,1/12/2025,4/12/2025,150,Actif
70,8,103,8/5/2024,8/5/2025,500,Actif
71,19,102,7/28/2023,10/28/2023,150,Expiré
72,17,101,1/31/2024,2/29/2024,50,Expiré
73,15,103,11/6/2024,11/6/2025,500,Actif
74,19,103,5/20/2023,5/20/2024,500,Expiré
75,20,101,6/23/2024,7/23/2024,50,Expiré
76,16,102,5/26/2023,8/26/2023,150,Expiré
77,8,101,10/13/2023,11/13/2023,50,Expiré
78,11,102,12/10/2023,3/10/2024,150,Expiré
79,3,102,5/4/2024,8/4/2024,150,Expiré
80,1,102,9/22/2023,12/22/2023,150,Expiré
81,15,102,5/24/2023,8/24/2023,150,Expiré
82,15,101,2/23/2023,3/23/2023,50,Expiré
83,14,103,1/15/2024,1/15/2025,500,Expiré
84,19,102,4/9/2023,7/9/2023,150,Expiré
85,7,103,5/4/2024,5/4/2025,500,Actif
86,1,101,10/3/2023,11/3/2023,50,Expiré
87,6,103,5/10/2024,5/10/2025,500,Actif
88,3,102,4/9/2024,7/9/2024,150,Expiré
89,1,102,9/23/2024,12/23/2024,150,Expiré
90,9,102,3/5/2024,6/5/2024,150,Expiré
91,18,101,4/11/2023,5/11/2023,50,Expiré
92,11,102,12/10/2023,3/10/2024,150,Expiré
93,16,103,9/3/2023,9/3/2024,500,Expiré
94,7,103,5/21/2024,5/21/2025,500,Actif
95,16,102,8/29/2024,11/29/2024,150,Expiré
96,15,102,9/19/2024,12/19/2024,150,Expiré
97,15,103,10/1/2023,10/1/2024,500,Expiré
98,2,102,8/11/2023,11/11/2023,150,Expiré
99,2,103,11/6/2024,11/6/2025,500,Actif
100,19,101,10/20/2024,11/20/2024,50,Expiré
